CATALOGUE,ID
A,1506
A,1450
A,1161
A,1222
A,1332
A,1207
A,1366
A,1168
A,1213
A,1160
A,1348
A,1332
A,1238
A,1520
A,1550
A,1590
A,1579
A,1507
A,1614
A,1405
A,1646
A,1654
A,1672
A,1584
A,1631
A,1601
A,1550
A,1067
A,1348
A,1332
A,1414
A,1458
A,1554
A,1504
A,1305
A,1469
A,1461
A,1494
A,1590
A,1579
A,1606
A,1608
A,1613
A,1664
A,1698
A,1681
A,1678
A,1672
A,1654
A,1646
A,1613
A,1494
A,1461
A,1550
A,1469
A,1502
A,1422
A,1357
A,1312
A,1259
A,1305
A,1405
A,1207
A,1671
A,1683
A,1018
A,975
A,1370
A,1388
A,1265
A,1223
A,65
A,53
A,65
C,640
C,688
C,663
C,463
