GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,CATALOGUE
1,1,24d08m55.9s,15d48m7.9s,86,86,86,0,3,145,5.22,A
2,2,24d08m56.7s,15d48m2.9s,24,24,24,0,3,127,5.05,A
3,3,24d08m57.0s,15d48m9.0s,42,42,42,0,3,138,5.21,A
4,4,24d08m58.0s,15d47m44.9s,25,25,25,0,3,101,4.54,A
5,5,24d08m58.2s,15d48m2.6s,24,24,24,0,3,114,4.98,A
6,6,24d08m58.7s,15d47m41.2s,33,33,33,0,3,95,4.44,A
7,7,24d08m58.8s,15d47m50.6s,32,31,32,0,3,93,4.64,A
8,8,24d08m58.9s,15d47m39.8s,40,40,40,0,3,93,4.4,A
9,9,24d08m58.9s,15d48m9.0s,31,31,31,0,3,122,5.14,A
10,10,24d08m59.3s,15d48m6.1s,209,171,196,0,3,112,5.04,A
11,11,24d08m59.7s,15d47m54.0s,35,35,35,0,3,88,4.69,A
12,12,24d09m0.4s,15d47m52.2s,163,93,139,20,3,80,4.62,A
13,13,24d09m0.4s,15d48m2.6s,50,50,50,0,3,95,4.9,A
14,14,24d09m0.8s,15d48m9.6s,37,37,37,0,3,107,5.09,A
15,15,24d09m1.1s,15d48m5.2s,30,30,30,0,3,95,4.95,A
16,16,24d09m1.5s,15d47m36.5s,29,29,29,0,3,70,4.23,A
17,17,24d09m2.3s,15d47m50.0s,19,18,19,0,3,63,4.49,A
18,18,24d09m2.4s,15d48m2.8s,31,31,31,0,3,79,4.83,A
19,19,24d09m2.6s,15d48m6.5s,24,24,24,0,3,85,4.93,A
20,20,24d09m3.0s,15d48m5.3s,37,37,37,0,3,79,4.88,A
21,21,24d09m3.0s,15d48m3.9s,31,31,31,0,3,78,4.84,A
22,22,24d09m3.5s,15d47m35.8s,23,23,23,0,3,53,4.13,A
23,23,24d09m3.9s,15d47m49.0s,27,24,26,0,3,50,4.41,A
24,24,24d09m4.1s,15d48m6.5s,39,39,39,0,3,74,4.88,A
25,25,24d09m4.1s,15d47m33.1s,40,40,40,0,3,48,4.05,A
26,26,24d09m4.3s,15d48m11.1s,204,142,183,70,3,83,5.02,A
27,27,24d09m5.1s,15d47m31.7s,28,28,28,0,3,39,3.99,A
28,28,24d09m5.2s,15d48m5.1s,30,30,30,0,3,60,4.8,A
29,29,24d09m5.3s,15d47m25.7s,31,31,31,0,3,44,3.88,A
30,30,24d09m5.5s,15d48m6.4s,37,37,37,0,3,62,4.83,A
31,31,24d09m5.8s,15d47m32.4s,37,37,37,0,3,33,3.97,A
32,32,24d09m6.8s,15d47m19.7s,62,62,62,0,3,45,3.74,A
33,33,24d09m7.7s,15d48m7.4s,24,24,24,0,3,44,4.78,A
34,34,24d09m7.8s,15d48m9.3s,18,18,18,0,3,50,4.84,A
35,35,24d09m8.1s,15d47m21.7s,23,23,23,0,3,32,3.71,A
36,36,24d09m8.1s,15d47m29.9s,42,42,42,0,3,20,3.82,A
37,37,24d09m9.8s,15d48m4.7s,29,29,29,0,3,22,4.63,A
38,38,24d09m10.2s,15d47m15.8s,44,33,40,-80,3,22,3.55,A
39,39,24d09m10.5s,15d47m17.6s,36,34,35,-90,3,19,3.55,A
40,40,24d09m11.1s,15d48m9.1s,26,26,26,0,3,21,4.72,A
41,41,24d09m11.5s,15d48m5.4s,29,29,29,0,3,10,4.59,A
42,42,24d09m11.8s,15d48m3.4s,24,24,24,0,3,1,4.51,A
43,43,24d09m12.3s,15d47m58.4s,32,32,32,0,3,-9,4.35,A
44,44,24d09m12.5s,15d48m12.1s,144,91,127,-60,3,23,4.78,A
45,45,24d09m12.5s,15d48m4.8s,24,24,24,0,3,2,4.54,A
46,46,24d09m12.6s,15d48m3.0s,27,27,27,0,3,-6,4.48,A
47,47,24d09m12.8s,15d48m7.2s,17,17,17,0,3,6,4.61,A
48,48,24d09m12.8s,15d48m5.3s,26,26,26,0,3,-2,4.54,A
49,49,24d09m13.2s,15d48m15.7s,27,27,27,0,3,30,4.88,A
50,50,24d09m13.2s,15d48m15.1s,38,33,37,0,3,29,4.86,A
51,51,24d09m13.7s,15d48m7.6s,25,25,25,0,3,-2,4.59,A
52,52,24d09m13.9s,15d47m14.6s,22,21,22,-90,3,-3,3.37,A
54,54,24d09m14.3s,15d48m6.2s,68,68,68,0,3,-10,4.52,A
55,55,24d09m14.4s,15d48m14.9s,22,21,22,0,3,19,4.81,A
56,56,24d09m14.7s,15d48m8.5s,43,40,42,-90,3,-7,4.59,A
57,57,24d09m14.8s,15d47m22.0s,52,52,52,0,3,-24,3.41,A
58,58,24d09m15.0s,15d47m23.8s,35,35,35,0,3,-27,3.43,A
59,59,24d09m15.2s,15d48m9.7s,19,19,19,0,3,-8,4.61,A
60,60,24d09m15.4s,15d48m8.7s,27,27,27,0,3,-11,4.57,A
61,61,24d09m15.5s,15d48m6.1s,24,24,24,0,3,-19,4.48,A
62,62,24d09m15.7s,15d47m2.5s,16,16,16,0,3,23,3.23,A
63,63,24d09m15.7s,15d48m13.9s,38,38,38,0,3,7,4.73,A
64,64,24d09m15.8s,15d48m4.7s,17,17,17,0,3,-26,4.42,A
