GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,CATALOGUE,SIZE_CLASS
1,1,24d08m55.9s,15d48m7.9s,86,86,86,0,A,giants
2,2,24d08m56.7s,15d48m2.9s,24,24,24,0,A,medium
3,3,24d08m57.0s,15d48m9.0s,42,42,42,0,A,giants
4,4,24d08m58.0s,15d47m44.9s,25,25,25,0,A,medium
5,5,24d08m58.2s,15d48m2.6s,24,24,24,0,A,medium
9,9,24d08m58.9s,15d48m9.0s,31,31,31,0,A,large
10,10,24d08m59.3s,15d48m6.1s,209,171,196,0,A,edgeLarge
12,12,24d09m0.4s,15d47m52.2s,163,93,139,20,A,edgeLarge
13,13,24d09m0.4s,15d48m2.6s,50,50,50,0,A,giants
14,14,24d09m0.8s,15d48m9.6s,37,37,37,0,A,large
15,15,24d09m1.1s,15d48m5.2s,30,30,30,0,A,large
16,16,24d09m1.5s,15d47m36.5s,29,29,29,0,A,medium
18,18,24d09m2.4s,15d48m2.8s,31,31,31,0,A,large
19,19,24d09m2.6s,15d48m6.5s,24,24,24,0,A,medium
20,20,24d09m3.0s,15d48m5.3s,37,37,37,0,A,large
21,21,24d09m3.0s,15d48m3.9s,31,31,31,0,A,large
24,24,24d09m4.1s,15d48m6.5s,39,39,39,0,A,large
25,25,24d09m4.1s,15d47m33.1s,40,40,40,0,A,large
27,27,24d09m5.1s,15d47m31.7s,28,28,28,0,A,medium
28,28,24d09m5.2s,15d48m5.1s,30,30,30,0,A,large
30,30,24d09m5.5s,15d48m6.4s,37,37,37,0,A,large
31,31,24d09m5.8s,15d47m32.4s,37,37,37,0,A,large
33,33,24d09m7.7s,15d48m7.4s,24,24,24,0,A,medium
36,36,24d09m8.1s,15d47m29.9s,42,42,42,0,A,giants
37,37,24d09m9.8s,15d48m4.7s,29,29,29,0,A,medium
38,38,24d09m10.2s,15d47m15.8s,44,33,40,-80,A,large
39,39,24d09m10.5s,15d47m17.6s,36,34,35,-90,A,large
40,40,24d09m11.1s,15d48m9.1s,26,26,26,0,A,medium
43,43,24d09m12.3s,15d47m58.4s,32,32,32,0,A,large
44,44,24d09m12.5s,15d48m12.1s,144,91,127,-60,A,edgeLarge
48,48,24d09m12.8s,15d48m5.3s,26,26,26,0,A,medium
49,49,24d09m13.2s,15d48m15.7s,27,27,27,0,A,medium
50,50,24d09m13.2s,15d48m15.1s,38,33,37,0,A,large
51,51,24d09m13.7s,15d48m7.6s,25,25,25,0,A,medium
52,52,24d09m13.9s,15d47m14.6s,22,21,22,-90,A,small
54,54,24d09m14.3s,15d48m6.2s,68,68,68,0,A,giants
55,55,24d09m14.4s,15d48m14.9s,22,21,22,0,A,small
56,56,24d09m14.7s,15d48m8.5s,43,40,42,-90,A,giants
57,57,24d09m14.8s,15d47m22.0s,52,52,52,0,A,giants
58,58,24d09m15.0s,15d47m23.8s,35,35,35,0,A,large
59,59,24d09m15.2s,15d48m9.7s,19,19,19,0,A,small
60,60,24d09m15.4s,15d48m8.7s,27,27,27,0,A,medium
61,61,24d09m15.5s,15d48m6.1s,24,24,24,0,A,medium
62,62,24d09m15.7s,15d47m2.5s,16,16,16,0,A,tiny
63,63,24d09m15.7s,15d48m13.9s,38,38,38,0,A,large
66,66,24d09m16.3s,15d46m53.3s,33,33,33,0,A,large
67,67,24d09m16.4s,15d47m2.1s,29,29,29,0,A,medium
