GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,CATALOGUE
1,1,24d08m55.9s,15d48m7.9s,86,86,86,0,3,145,5.22,A
3,3,24d08m57.0s,15d48m9.0s,42,42,42,0,3,138,5.21,A
10,10,24d08m59.3s,15d48m6.1s,209,171,196,0,3,112,5.04,A
12,12,24d09m0.4s,15d47m52.2s,163,93,139,20,3,80,4.62,A
13,13,24d09m0.4s,15d48m2.6s,50,50,50,0,3,95,4.9,A
26,26,24d09m4.3s,15d48m11.1s,204,142,183,70,3,83,5.02,A
32,32,24d09m6.8s,15d47m19.7s,62,62,62,0,3,45,3.74,A
36,36,24d09m8.1s,15d47m29.9s,42,42,42,0,3,20,3.82,A
44,44,24d09m12.5s,15d48m12.1s,144,91,127,-60,3,23,4.78,A
54,54,24d09m14.3s,15d48m6.2s,68,68,68,0,3,-10,4.52,A
56,56,24d09m14.7s,15d48m8.5s,43,40,42,-90,3,-7,4.59,A
57,57,24d09m14.8s,15d47m22.0s,52,52,52,0,3,-24,3.41,A
73,73,24d09m17.3s,15d47m8.9s,88,66,81,0,3,-14,3.17,A
74,74,24d09m17.3s,15d47m3.6s,129,87,115,20,3,7,3.15,A
75,75,24d09m17.4s,15d48m13.1s,41,41,41,0,3,-9,4.66,A
79,79,24d09m18.0s,15d47m10.8s,54,33,47,30,3,-26,3.15,A
93,93,24d09m19.9s,15d47m7.0s,80,63,74,30,3,-24,3.04,A
94,94,24d09m19.9s,15d46m46.4s,43,43,43,0,3,62,3.11,A
98,98,24d09m20.8s,15d48m1.4s,260,187,236,70,3,-74,4.15,A
99,99,24d09m20.9s,15d46m59.2s,181,120,161,-25,3,-3,2.99,A
110,110,24d09m22.7s,15d47m12.0s,230,171,211,50,3,-68,2.95,A
112,112,24d09m22.8s,15d47m5.1s,53,44,50,20,3,-39,2.9,A
114,114,24d09m23.6s,15d48m22.3s,42,42,42,0,3,-23,4.81,A
116,116,24d09m24.1s,15d46m52.4s,73,73,73,0,3,-16,2.87,A
120,120,24d09m24.4s,15d47m7.0s,62,42,56,0,3,-59,2.84,A
137,137,24d09m26.4s,15d47m16.4s,47,37,44,0,3,-110,2.83,A
140,140,24d09m26.5s,15d47m1.6s,99,57,85,40,3,-56,2.73,A
155,155,24d09m28.1s,15d46m53.9s,41,40,41,-90,3,-45,2.68,A
162,162,24d09m28.6s,15d48m28.6s,62,62,62,0,3,-31,4.93,A
172,172,24d09m30.9s,15d47m3.9s,55,55,55,0,2,98,2.53,A
174,174,24d09m31.3s,15d47m17.6s,61,59,60,-90,2,81,2.63,A
186,186,24d09m33.2s,15d48m29.3s,52,52,52,0,3,-60,4.85,A
190,190,24d09m33.5s,15d47m2.2s,117,117,117,0,2,78,2.41,A
194,194,24d09m34.1s,15d47m13.2s,59,59,59,0,2,56,2.45,A
199,199,24d09m34.7s,15d46m40.4s,45,45,45,0,2,142,2.55,A
200,200,24d09m34.8s,15d48m32.7s,59,59,59,0,3,-53,4.96,A
201,201,24d09m34.8s,15d47m4.4s,49,49,49,0,2,64,2.35,A
204,204,24d09m35.1s,15d46m56.7s,65,61,63,0,2,78,2.34,A
207,207,24d09m35.4s,15d46m59.9s,54,54,54,0,2,67,2.32,A
209,209,24d09m35.7s,15d47m6.3s,60,48,56,0,2,54,2.32,A
211,211,24d09m35.8s,15d47m8.1s,49,26,42,0,2,49,2.33,A
212,212,24d09m35.8s,15d47m20.5s,56,41,51,10,2,42,2.48,A
215,215,24d09m36.1s,15d46m53.3s,86,69,81,-20,2,79,2.32,A
222,222,24d09m36.6s,15d46m46.0s,71,47,63,0,2,105,2.38,A
228,228,24d09m37.1s,15d46m7.9s,196,143,178,20,4,-3,3.39,A
230,230,24d09m37.2s,15d46m14.9s,57,57,57,0,4,-57,3.14,A
233,233,24d09m37.4s,15d46m23.8s,45,45,45,0,4,-134,2.85,A
