patch_id,y_start,x_start,category,bubble_ratio,ignore_ratio,split
0,896,0,negative,0.0,0.0,train
1,0,1408,positive,0.08718872,0.1835479736328125,val
2,256,256,weak,0.03756714,0.0489044189453125,train
3,512,384,positive,0.068237305,0.1242523193359375,train
4,256,1920,positive,0.1461792,0.0664825439453125,val
5,512,896,positive,0.055603027,0.0982513427734375,train
6,128,896,weak,0.010070801,0.062713623046875,train
7,128,1280,positive,0.11817932,0.21099853515625,val
8,256,128,negative,0.0,0.0,train
9,384,128,negative,0.0,0.000213623046875,train
10,256,1536,positive,0.25245667,0.1309967041015625,val
11,896,512,positive,0.21598816,0.0523223876953125,train
12,640,384,positive,0.056991577,0.1186676025390625,train
13,640,1152,weak,0.0036773682,0.134765625,train
14,384,640,positive,0.37530518,0.0864410400390625,train
15,896,640,positive,0.06391907,0.0149383544921875,train
16,256,768,positive,0.15153503,0.0655059814453125,train
17,512,768,positive,0.0783844,0.140625,train
18,768,1536,positive,0.17266846,0.183624267578125,train
19,128,2048,positive,0.19697571,0.1096038818359375,val
20,896,1664,positive,0.25901794,0.2088775634765625,train
21,256,0,negative,0.0,0.0,train
22,640,0,negative,0.0,0.0,train
23,768,512,positive,0.11425781,0.0728607177734375,train
24,128,128,negative,0.0,0.0,train
25,0,896,negative,0.0,0.043548583984375,train
26,640,768,weak,0.02267456,0.20599365234375,train
27,896,896,weak,0.03277588,0.1596527099609375,train
28,768,1408,positive,0.06730652,0.2066497802734375,train
29,640,2048,weak,0.0054473877,0.05157470703125,train
30,128,384,positive,0.13218689,0.0886077880859375,train
31,640,1792,positive,0.18676758,0.225616455078125,train
32,640,512,positive,0.17529297,0.059906005859375,train
33,640,128,negative,0.0,0.0010223388671875,train
34,640,640,positive,0.14097595,0.1136322021484375,train
35,128,1664,positive,0.503479,0.1059417724609375,val
36,0,256,negative,0.0,0.007171630859375,train
37,384,512,positive,0.33021545,0.086639404296875,train
38,0,1920,weak,0.0035552979,0.0379486083984375,val
39,256,896,weak,0.010070801,0.1381378173828125,train
40,896,2048,negative,0.0,0.0631561279296875,train
41,640,1920,positive,0.13038635,0.1340179443359375,train
42,640,1024,negative,0.0,0.123565673828125,train
43,896,1024,positive,0.09083557,0.2569732666015625,train
44,896,1536,positive,0.20581055,0.1641082763671875,train
45,128,640,positive,0.21684265,0.17034912109375,train
46,768,1664,positive,0.1591034,0.1998443603515625,train
47,640,1280,weak,0.01889038,0.2655487060546875,train
48,128,1536,positive,0.29911804,0.1746368408203125,val
49,768,1024,weak,0.033798218,0.2387542724609375,train
50,512,512,positive,0.29299927,0.0668792724609375,train
51,768,640,weak,0.037368774,0.0337677001953125,train
52,384,384,positive,0.06666565,0.1000518798828125,train
53,896,1920,weak,0.013824463,0.0572662353515625,train
54,128,1792,positive,0.33444214,0.054412841796875,val
55,512,256,negative,0.0,0.085205078125,train
56,128,0,negative,0.0,0.0,train
57,896,128,negative,0.0,0.0107421875,train
58,256,2048,positive,0.13821411,0.076873779296875,val
59,256,384,positive,0.1612091,0.1013641357421875,train
60,640,1536,positive,0.11543274,0.18255615234375,train
61,0,640,positive,0.06573486,0.0926971435546875,train
62,0,384,weak,0.014816284,0.049713134765625,train
63,256,1408,positive,0.10493469,0.1655120849609375,val
64,768,384,positive,0.10119629,0.096923828125,train
65,896,1408,positive,0.06472778,0.075897216796875,train
66,256,1280,positive,0.07499695,0.154998779296875,val
67,640,1664,positive,0.0897522,0.1972198486328125,train
68,640,1408,positive,0.10272217,0.291046142578125,train
69,256,1792,positive,0.3902588,0.079864501953125,val
70,896,1152,positive,0.06867981,0.18768310546875,train
71,128,256,negative,0.00061035156,0.0327301025390625,train
72,768,0,negative,0.0,0.0,train
73,384,896,positive,0.055603027,0.13800048828125,train
74,0,512,weak,0.014816284,0.1044769287109375,train
75,0,1280,weak,0.04396057,0.1586456298828125,val
76,768,256,weak,0.021759033,0.0394439697265625,train
77,896,768,negative,0.0,0.0313262939453125,train
78,768,1792,positive,0.06613159,0.2090911865234375,train
79,128,1920,positive,0.13839722,0.058624267578125,val
80,512,640,positive,0.30314636,0.11920166015625,train
81,768,1152,weak,0.04397583,0.2010345458984375,train
82,640,256,negative,0.0,0.08197021484375,train
83,0,1536,positive,0.159729,0.145294189453125,val
84,768,1920,weak,0.012390137,0.116973876953125,train
85,128,768,positive,0.20072937,0.0468902587890625,train
86,256,1664,positive,0.50997925,0.1069183349609375,val
87,128,512,positive,0.15776062,0.1898040771484375,train
88,384,256,weak,0.036956787,0.0397491455078125,train
89,896,384,positive,0.20628357,0.099639892578125,train
90,640,896,negative,0.0,0.1898040771484375,train
91,768,2048,negative,0.0,0.057342529296875,train
92,896,256,positive,0.054214478,0.0594024658203125,train
93,768,1280,weak,0.010620117,0.2092742919921875,train
94,256,512,positive,0.3356781,0.1436767578125,train
95,896,1792,positive,0.13175964,0.150543212890625,train
96,512,128,negative,0.0,0.0012359619140625,train
97,0,1792,weak,0.04043579,0.046844482421875,val
98,128,1408,positive,0.13130188,0.21337890625,val
99,384,0,negative,0.0,0.0,train
100,0,768,positive,0.06573486,0.0610504150390625,train
101,896,1280,weak,0.010620117,0.090362548828125,train
102,0,2048,positive,0.115234375,0.0890045166015625,val
103,256,640,positive,0.35350037,0.1426239013671875,train
104,384,768,positive,0.074798584,0.08599853515625,train
105,768,768,weak,0.0025482178,0.1102752685546875,train
106,0,1664,positive,0.14277649,0.068939208984375,val
