ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC
1,24d08m55.9s,15d48m7.9s,86,86,86,0,3,145,5.22
2,24d08m56.7s,15d48m2.9s,24,24,24,0,3,127,5.05
3,24d08m57.0s,15d48m9.0s,42,42,42,0,3,138,5.21
4,24d08m58.0s,15d47m44.9s,25,25,25,0,3,101,4.54
5,24d08m58.2s,15d48m2.6s,24,24,24,0,3,114,4.98
6,24d08m58.7s,15d47m41.2s,33,33,33,0,3,95,4.44
7,24d08m58.8s,15d47m50.6s,32,31,32,0,3,93,4.64
8,24d08m58.9s,15d47m39.8s,40,40,40,0,3,93,4.40
9,24d08m58.9s,15d48m9.0s,31,31,31,0,3,122,5.14
10,24d08m59.3s,15d48m6.1s,209,171,196,0,3,112,5.04
11,24d08m59.7s,15d47m54.0s,35,35,35,0,3,88,4.69
12,24d09m0.4s,15d47m52.2s,163,93,139,20,3,80,4.62
13,24d09m0.4s,15d48m2.6s,50,50,50,0,3,95,4.90
14,24d09m0.8s,15d48m9.6s,37,37,37,0,3,107,5.09
15,24d09m1.1s,15d48m5.2s,30,30,30,0,3,95,4.95
16,24d09m1.5s,15d47m36.5s,29,29,29,0,3,70,4.23
17,24d09m2.3s,15d47m50.0s,19,18,19,0,3,63,4.49
18,24d09m2.4s,15d48m2.8s,31,31,31,0,3,79,4.83
19,24d09m2.6s,15d48m6.5s,24,24,24,0,3,85,4.93
20,24d09m3.0s,15d48m5.3s,37,37,37,0,3,79,4.88
21,24d09m3.0s,15d48m3.9s,31,31,31,0,3,78,4.84
22,24d09m3.5s,15d47m35.8s,23,23,23,0,3,53,4.13
23,24d09m3.9s,15d47m49.0s,27,24,26,0,3,50,4.41
24,24d09m4.1s,15d48m6.5s,39,39,39,0,3,74,4.88
25,24d09m4.1s,15d47m33.1s,40,40,40,0,3,48,4.05
26,24d09m4.3s,15d48m11.1s,204,142,183,70,3,83,5.02
27,24d09m5.1s,15d47m31.7s,28,28,28,0,3,39,3.99
28,24d09m5.2s,15d48m5.1s,30,30,30,0,3,60,4.80
29,24d09m5.3s,15d47m25.7s,31,31,31,0,3,44,3.88
30,24d09m5.5s,15d48m6.4s,37,37,37,0,3,62,4.83
31,24d09m5.8s,15d47m32.4s,37,37,37,0,3,33,3.97
32,24d09m6.8s,15d47m19.7s,62,62,62,0,3,45,3.74
33,24d09m7.7s,15d48m7.4s,24,24,24,0,3,44,4.78
34,24d09m7.8s,15d48m9.3s,18,18,18,0,3,50,4.84
35,24d09m8.1s,15d47m21.7s,23,23,23,0,3,32,3.71
36,24d09m8.1s,15d47m29.9s,42,42,42,0,3,20,3.82
37,24d09m9.8s,15d48m4.7s,29,29,29,0,3,22,4.63
38,24d09m10.2s,15d47m15.8s,44,33,40,-80,3,22,3.55
39,24d09m10.5s,15d47m17.6s,36,34,35,-90,3,19,3.55
40,24d09m11.1s,15d48m9.1s,26,26,26,0,3,21,4.72
41,24d09m11.5s,15d48m5.4s,29,29,29,0,3,10,4.59
42,24d09m11.8s,15d48m3.4s,24,24,24,0,3,1,4.51
43,24d09m12.3s,15d47m58.4s,32,32,32,0,3,-9,4.35
44,24d09m12.5s,15d48m12.1s,144,91,127,-60,3,23,4.78
45,24d09m12.5s,15d48m4.8s,24,24,24,0,3,2,4.54
46,24d09m12.6s,15d48m3.0s,27,27,27,0,3,-6,4.48
47,24d09m12.8s,15d48m7.2s,17,17,17,0,3,6,4.61
48,24d09m12.8s,15d48m5.3s,26,26,26,0,3,-2,4.54
49,24d09m13.2s,15d48m15.7s,27,27,27,0,3,30,4.88
50,24d09m13.2s,15d48m15.1s,38,33,37,0,3,29,4.86
51,24d09m13.7s,15d48m7.6s,25,25,25,0,3,-2,4.59
52,24d09m13.9s,15d47m14.6s,22,21,22,-90,3,-3,3.37
53,24d09m14.0s,15d48m2.5s,36,36,36,0,3,-17,4.41
54,24d09m14.3s,15d48m6.2s,68,68,68,0,3,-10,4.52
55,24d09m14.4s,15d48m14.9s,22,21,22,0,3,19,4.81
56,24d09m14.7s,15d48m8.5s,43,40,42,-90,3,-7,4.59
57,24d09m14.8s,15d47m22.0s,52,52,52,0,3,-24,3.41
58,24d09m15.0s,15d47m23.8s,35,35,35,0,3,-27,3.43
59,24d09m15.2s,15d48m9.7s,19,19,19,0,3,-8,4.61
60,24d09m15.4s,15d48m8.7s,27,27,27,0,3,-11,4.57
61,24d09m15.5s,15d48m6.1s,24,24,24,0,3,-19,4.48
62,24d09m15.7s,15d47m2.5s,16,16,16,0,3,23,3.23
63,24d09m15.7s,15d48m13.9s,38,38,38,0,3,7,4.73
64,24d09m15.8s,15d48m4.7s,17,17,17,0,3,-26,4.42
65,24d09m16.2s,15d48m7.5s,35,35,35,0,3,-23,4.50
66,24d09m16.3s,15d46m53.3s,33,33,33,0,3,50,3.22
67,24d09m16.4s,15d47m2.1s,29,29,29,0,3,19,3.19
68,24d09m16.5s,15d48m6.0s,24,24,24,0,3,-27,4.44
69,24d09m16.6s,15d48m9.0s,25,25,25,0,3,-20,4.54
70,24d09m16.7s,15d48m4.9s,26,26,26,0,3,-33,4.40
71,24d09m17.0s,15d48m11.9s,24,24,24,0,3,-11,4.62
72,24d09m17.1s,15d47m7.7s,27,19,24,-80,3,-5,3.18
73,24d09m17.3s,15d47m8.9s,88,66,81,0,3,-14,3.17
74,24d09m17.3s,15d47m3.6s,129,87,115,20,3,7,3.15
75,24d09m17.4s,15d48m13.1s,41,41,41,0,3,-9,4.66
76,24d09m17.5s,15d48m5.8s,36,36,36,0,3,-36,4.41
77,24d09m17.7s,15d47m1.5s,36,36,36,0,3,11,3.13
78,24d09m18.0s,15d48m3.8s,36,36,36,0,3,-45,4.32
79,24d09m18.0s,15d47m10.8s,54,33,47,30,3,-26,3.15
80,24d09m18.2s,15d48m11.8s,26,26,26,0,3,-20,4.59
81,24d09m18.2s,15d47m60.0s,36,36,36,0,3,-54,4.19
82,24d09m18.2s,15d47m6.2s,19,15,18,0,3,-7,3.12
83,24d09m18.4s,15d47m14.8s,28,17,24,-60,3,-41,3.17
84,24d09m18.5s,15d47m11.7s,19,17,18,-90,3,-32,3.14
85,24d09m18.5s,15d48m7.4s,26,26,26,0,3,-40,4.42
86,24d09m18.5s,15d47m7.5s,17,7,14,-80,3,-16,3.11
87,24d09m18.8s,15d48m4.9s,37,37,37,0,3,-50,4.33
88,24d09m18.9s,15d48m17.6s,27,26,27,-90,3,-6,4.77
89,24d09m19.0s,15d47m3.4s,21,21,21,0,3,6,3.07
90,24d09m19.3s,15d47m5.6s,17,13,15,20,3,-15,3.06
91,24d09m19.5s,15d48m7.4s,22,22,22,0,3,-48,4.39
92,24d09m19.8s,15d47m5.4s,17,13,15,0,3,-17,3.04
93,24d09m19.9s,15d47m7.0s,80,63,74,30,3,-24,3.04
94,24d09m19.9s,15d46m46.4s,43,43,43,0,3,62,3.11
95,24d09m20.0s,15d47m4.1s,30,30,30,0,3,-15,3.03
96,24d09m20.2s,15d48m18.5s,14,14,14,0,3,-11,4.77
97,24d09m20.6s,15d47m1.5s,19,18,19,0,3,-11,3
98,24d09m20.8s,15d48m1.4s,260,187,236,70,3,-74,4.15
99,24d09m20.9s,15d46m59.2s,181,120,161,-25,3,-3,2.99
100,24d09m21.0s,15d47m5.3s,34,19,29,-20,3,-25,2.99
101,24d09m21.1s,15d48m13.5s,20,20,20,0,3,-39,4.56
102,24d09m21.2s,15d47m7.0s,20,20,20,0,3,-34,2.98
103,24d09m21.2s,15d47m2.0s,15,11,14,-90,3,-18,2.97
104,24d09m21.6s,15d47m6.4s,10,7,9,60,3,-35,2.96
105,24d09m21.6s,15d47m4.3s,25,25,25,0,3,-26,2.96
106,24d09m21.9s,15d47m6.6s,13,9,11,60,3,-38,2.95
107,24d09m22.3s,15d48m4.8s,31,30,31,-90,3,-78,4.22
108,24d09m22.5s,15d47m7.0s,29,22,26,30,3,-44,2.93
109,24d09m22.6s,15d47m3.6s,20,19,20,-90,3,-32,2.91
110,24d09m22.7s,15d47m12.0s,230,171,211,50,3,-68,2.95
111,24d09m22.8s,15d47m2.7s,26,24,25,-90,3,-33,2.90
112,24d09m22.8s,15d47m5.1s,53,44,50,20,3,-39,2.90
113,24d09m23.5s,15d47m5.7s,17,14,16,40,3,-47,2.87
114,24d09m23.6s,15d48m22.3s,42,42,42,0,3,-23,4.81
115,24d09m23.9s,15d48m12.5s,27,27,27,0,3,-64,4.44
116,24d09m24.1s,15d46m52.4s,73,73,73,0,3,-16,2.87
117,24d09m24.1s,15d46m58.7s,23,16,21,40,3,-24,2.84
118,24d09m24.3s,15d46m58.1s,12,11,12,-90,3,-22,2.83
119,24d09m24.4s,15d46m59.4s,10,9,10,-90,3,-30,2.83
120,24d09m24.4s,15d47m7.0s,62,42,56,0,3,-59,2.84
121,24d09m24.6s,15d47m3.4s,19,18,19,-90,3,-48,2.82
122,24d09m24.9s,15d46m59.4s,9,9,9,0,3,-33,2.80
123,24d09m24.9s,15d46m59.7s,8,8,8,0,3,-35,2.80
124,24d09m24.9s,15d47m0.6s,27,27,27,-90,3,-40,2.80
125,24d09m25.0s,15d46m58.9s,11,9,10,-90,3,-32,2.80
126,24d09m25.1s,15d47m2.5s,21,15,19,-60,3,-49,2.79
127,24d09m25.2s,15d47m4.7s,25,25,25,0,3,-56,2.79
128,24d09m25.3s,15d47m14.9s,26,26,26,-90,3,-98,2.86
129,24d09m25.5s,15d48m23.1s,26,26,26,0,3,-33,4.80
130,24d09m25.5s,15d47m14.0s,18,18,18,-90,3,-96,2.84
131,24d09m25.7s,15d46m59.4s,12,11,11,-90,3,-39,2.77
132,24d09m26.1s,15d47m0.2s,9,9,9,0,3,-46,2.75
133,24d09m26.1s,15d47m6.9s,25,24,24,-90,3,-72,2.76
134,24d09m26.2s,15d46m59.4s,9,8,9,-90,3,-41,2.74
135,24d09m26.2s,15d48m29.9s,20,20,20,0,3,-10,5.05
136,24d09m26.3s,15d48m22.1s,15,15,15,0,3,-45,4.73
137,24d09m26.4s,15d47m16.4s,47,37,44,0,3,-110,2.83
138,24d09m26.4s,15d47m12.2s,15,14,14,0,3,-96,2.78
139,24d09m26.4s,15d47m0.0s,11,11,11,0,3,-47,2.73
140,24d09m26.5s,15d47m1.6s,99,57,85,40,3,-56,2.73
141,24d09m26.5s,15d47m0.4s,10,9,10,20,3,-50,2.73
142,24d09m26.6s,15d47m13.5s,24,23,24,-90,3,-103,2.78
143,24d09m26.6s,15d48m18.4s,31,29,30,0,3,-65,4.58
144,24d09m26.7s,15d48m22.9s,21,21,21,0,3,-42,4.75
145,24d09m26.8s,15d46m59.2s,8,8,8,-90,3,-44,2.71
146,24d09m27.0s,15d46m59.6s,10,9,10,0,3,-48,2.71
147,24d09m27.1s,15d46m58.3s,39,39,39,0,3,-41,2.70
148,24d09m27.2s,15d48m23.2s,29,29,29,0,3,-44,4.76
149,24d09m27.2s,15d48m25.5s,29,29,29,0,3,-35,4.84
150,24d09m27.4s,15d47m10.5s,34,33,33,0,3,-96,2.72
151,24d09m27.6s,15d47m11.6s,17,16,17,-90,3,-102,2.72
152,24d09m27.7s,15d47m12.6s,24,22,23,-90,3,-107,2.73
