ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC
1,24d08m43.1s,15d48m35.9s,64,62,63,-90,4,-245,6.54
2,24d08m48.3s,15d48m11.5s,59,53,57,50,3,217,5.60
3,24d08m50.2s,15d48m25.8s,50,47,49,0,3,247,5.97
4,24d08m51.2s,15d48m15.5s,73,67,71,-90,3,203,5.61
5,24d08m51.5s,15d48m19.9s,46,43,45,-90,3,216,5.73
6,24d08m52.3s,15d48m22.8s,44,41,43,-90,3,221,5.80
7,24d08m53.8s,15d48m41.9s,44,42,43,0,3,285,6.40
8,24d08m54.4s,15d48m7.7s,31,30,30,0,3,157,5.27
9,24d08m54.9s,15d48m13.7s,58,57,58,-90,3,167,5.42
10,24d08m55.3s,15d48m16.8s,66,60,64,0,3,175,5.51
11,24d08m55.3s,15d48m4.9s,17,17,17,0,3,144,5.15
12,24d08m55.4s,15d48m5.6s,35,32,34,0,3,144,5.17
13,24d08m56.1s,15d48m3.9s,24,23,24,-90,3,134,5.09
14,24d08m56.8s,15d48m3.1s,31,26,29,0,3,127,5.05
15,24d08m57.1s,15d48m5.5s,156,110,141,60,3,130,5.11
16,24d08m58.1s,15d48m2.9s,24,24,24,0,3,115,4.99
17,24d08m58.7s,15d48m3.7s,36,34,35,0,3,112,5
18,24d08m59.4s,15d48m23.5s,107,97,104,-90,3,166,5.59
19,24d08m59.4s,15d47m52.4s,228,162,206,0,3,88,4.66
20,24d08m59.7s,15d48m19.8s,77,64,72,-90,3,151,5.45
21,24d09m1.1s,15d48m5.3s,33,24,30,0,3,96,4.95
22,24d09m1.3s,15d48m3.9s,23,22,23,-90,3,92,4.91
23,24d09m1.6s,15d47m38.7s,30,30,30,0,3,69,4.27
24,24d09m2.5s,15d48m37.6s,93,84,90,0,3,202,5.99
25,24d09m2.5s,15d48m2.8s,28,27,28,0,3,78,4.83
26,24d09m3.1s,15d47m35.8s,42,42,42,0,3,57,4.15
27,24d09m3.8s,15d48m23.6s,61,59,60,-90,3,133,5.45
28,24d09m4.0s,15d48m10.5s,179,176,178,0,3,84,5.01
