X_PIX,Y_PIX,SEMI_MAJ_PIX
1322,157,50.98923
1521,134,25.539063
1453,135,17.423007
1722,216,17.046931
1751,314,41.581082
1180,173,17.165034
1071,104,22.048882
1047,211,25.617089
1012,246,25.765353
1167,260,15.761644
1215,387,11.983242
742,175,26.681892
677,257,38.029103
731,102,41.787076
711,485,21.219276
596,551,16.630137
683,650,19.273415
1047,562,14.058472
420,816,30.808486
538,607,35.803488
514,665,17.940559
583,643,19.415155
603,776,15.222614
551,797,25.218477
542,1064,27.314511
608,1075,16.728832
485,961,17.141645
522,995,15.017928
434,972,15.416434
429,920,20.761229
842,1072,9.3605308
774,1099,15.751942
794,1021,17.130943
698,1284,35.244524
532,1226,14.726784
559,1224,14.363883
649,1154,21.943693
1257,1047,35.414625
1001,1366,14.172181
1024,1422,16.049664
1076,1460,21.503732
1174,1320,20
724,1410,18.197516
678,1614,20.64261
1075,1775,15.232889
1053,1800,14.26411
982,1608,16.678502
1012,1547,13.662351
762,1640,10.180489
459,1746,15.951029
540,1928,23.37861
568,1943,11.620134
611,1803,12.370169
570,1797,30.706577
713,1833,23.458867
324,1840,19.844598
293,1821,18.097422
206,1705,19.507503
397,1924,21.916887
778,1922,11.472948
797,1913,11.983833
938,1994,14.309144
812,1962,24.703954
573,2043,13.023196
460,1921,20.933698
604,1893,21.292289
858,1892,8.7775545
885,1876,8.8034919
1013,1852,10.350505
1008,1881,7.7333056
956,1951,10.689351
989,1984,19.154885
1546,1779,19.947981
1554,1725,20.181448
1506,1624,23.258618
1393,1389,17.198828
1346,1475,22.178542
1310,1517,27.53206
1299,1563,29.436589
1537,1425,12.033804
1233,1355,20.01677
1584,625.33333,18.495351
1368.1667,768.66667,18.750147
1361.5,657,12.987583
1277.3333,629.5,13.87313
1101.5,635.33333,9.9687972
1122.3333,614.5,11.828142
1458.8,786,28.089064
1182.8,525.6,28.031497
1464.8,862.8,15.840255
1434.8,860.4,18.374168
1140.8,682.8,31.12708
1181.6,656.4,16.986921
1542.8,486,22.692189
1542.2,1015.6,15.909076
1446.2,1139.2,21.234481
1509.8,1150,10.431686
1489.4,956.8,14.669761
1445,932.8,18.812242
1489.4,994,15.645452
1383.8,905.2,23.438559
1328.6,797.2,17.628331
1340.6,835.6,18.455728
1290.2,739.6,21.439303
1609.2,1385,14.987146
1320.8,1632.8,22.362772
409.6,1378.2,20.062462
994,1482.6,39.751045
893.2,917.2,8.0551543
974.8,797.2,8.7085469
968.8,746.8,7.5619608
935.2,682,6.155382
948.4,679.6,7.5628141
1243.6,913.6,29.992926
1219.6,970,12.432937
1214.8,937.6,14.906849
1152.4,935.2,12.756888
1104.4,901.6,16.898596
1178.2083,398.46528,16.303582
1182.0664,353.13349,16.5442
1329.9144,226.11265,10.582067
1226.2299,230.93519,15.106631
1244.5556,254.08333,9.2781629
1202.1173,212.12731,11.269215
1389.3295,429.40278,19.427845
1432.8225,541.44907,13.073479
1444.8789,566.52623,11.476887
1404.8519,590.15664,8.8016143
899.47377,1378.4444,10.636672
885.97068,1350.4738,14.232584
835.3341,1362.5301,21.855588
761.06713,1254.9877,19.158926
758.17361,1283.9228,14.294973
1564.9267,352.48225,8.58082
1517.6659,287.37809,9.2691871
1475.2276,249.28009,8.0124115
1381.858,1581.9205,19.105882
