ID,GALAXY,RA_DMS,DEC_DMS,RAD_PC,V_EXP_KMS,AGE_MYR,M_SHELL_MSUN,KE_ERG,M_CLST_MSUN,NOTES
1,NGC0628,24d09m10.4s,15d46m33.3s,105,10.5,2.4,15.32e7,16.00e51,20.73e4,arm
2,NGC0628,24d09m10.5s,15d47m2.1s,58,6.0,2.4,1.48e7,0.87e51,1.16e4,arm
3,NGC0628,24d09m39.9s,15d45m55.5s,83,17.0,1.2,2.03e7,3.44e51,9.14e4,arm
4,NGC0628,24d09m48.2s,15d47m42.5s,111,9.7,2.8,3.54e7,3.42e51,3.86e4,arm
5,NGC0628,24d10m4.9s,15d48m12.4s,44,4.8,2.2,0.23e7,0.11e51,0.16e4,inter
6,NGC0628,24d10m9.0s,15d46m23.8s,76,5.6,3.3,0.84e7,0.47e51,0.46e4,inter
7,NGC0628,24d10m13.2s,15d47m34.5s,28,6.8,1.0,0.13e7,0.09e51,0.29e4,inter
8,NGC0628,24d10m14.1s,15d45m44.8s,37,3.2,2.9,0.10e7,0.03e51,0.03e4,inter
9,NGC0628,24d10m17.8s,15d45m46.0s,42,13.0,0.8,0.73e7,0.94e51,3.77e4,arm and inter
10,NGC0628,24d10m22.5s,15d47m12.1s,69,12.7,1.3,2.27e7,2.86e51,6.80e4,centre
11,NGC0628,24d10m36.7s,15d46m42.4s,60,9.5,1.5,1.10e7,1.04e51,2.14e4,centre and inter
12,NGC0628,24d10m49.4s,15d47m45.4s,44,6.7,1.6,0.26e7,0.17e51,0.34e4,inter
13,NGC1087,41d36m33.3s,-0d29m25.1s,105,14.5,1.8,16.27e7,23.47e51,41.97e4,none
14,NGC1087,41d36m39.8s,-0d30m0.7s,148,11.7,3.1,8.59e7,9.96e51,10.19e4,none
15,NGC1087,41d36m39.9s,-0d30m35.5s,106,4.2,6.1,0.90e7,0.38e51,0.20e4,none
16,NGC1300,49d53m53.9s,-19d24m17.1s,149,10.7,3.4,27.74e7,29.40e51,27.33e4,arm and inter
17,NGC1300,49d54m53.1s,-19d23m40.2s,146,7.5,4.8,2.76e7,2.06e51,1.37e4,arm
18,NGC1365,53d25m51.7s,-36d08m49.6s,144,25.5,1.4,111.61e7,283.18e51,649.88e4,arm
19,NGC1385,54d22m1.8s,-24d29m42.8s,126,10.5,2.9,30.54e7,31.91e51,34.43e4,inter
20,NGC1385,54d22m2.9s,-24d29m47.4s,209,9.5,5.4,44.07e7,41.65e51,24.55e4,inter
21,NGC1385,54d22m9.9s,-24d29m41.8s,145,9.5,3.7,41.51e7,39.24e51,33.44e4,inter
22,NGC1385,54d22m25.5s,-24d29m50.8s,167,9.8,4.2,60.66e7,59.15e51,45.07e4,inter
23,NGC1433,55d28m25.4s,-47d13m7.1s,131,7.9,4.0,2.33e7,1.83e51,1.43e4,none
24,NGC1433,55d30m26.6s,-47d13m26.5s,125,11.5,2.7,37.90e7,43.37e51,51.57e4,centre and bar
25,NGC1512,60d57m40.7s,-43d21m51.3s,188,8.5,5.4,4.79e7,4.05e51,2.38e4,bar and inter
26,NGC1512,60d58m34.5s,-43d22m5.8s,237,11.8,4.9,5.61e7,6.55e51,4.20e4,arm
27,NGC1512,60d59m59.4s,-43d20m17.0s,167,5.9,6.9,5.15e7,3.03e51,1.38e4,arm
28,NGC1566,64d59m4.8s,-54d57m0.7s,88,6.9,3.1,1.75e7,1.20e51,1.22e4,inter
29,NGC1566,64d59m5.0s,-54d56m31.0s,120,4.4,6.7,3.40e7,1.49e51,0.70e4,arm
30,NGC1566,64d59m47.0s,-54d55m48.9s,206,7.5,6.7,11.56e7,8.63e51,4.07e4,bar and arm
31,NGC1566,64d59m58.4s,-54d55m45.8s,169,7.5,5.5,9.96e7,7.43e51,4.28e4,bar
32,NGC1566,65d00m0.6s,-54d56m38.8s,106,14.0,1.9,81.33e7,113.29e51,193.46e4,bar
33,NGC1566,65d00m10.2s,-54d56m51.3s,101,8.0,3.1,2.47e7,1.97e51,2.02e4,bar
34,NGC1566,65d00m18.5s,-54d57m25.6s,110,5.8,4.6,1.49e7,0.86e51,0.59e4,inter
35,NGC1566,65d01m4.1s,-54d57m7.5s,162,5.7,6.9,6.48e7,3.67e51,1.68e4,arm
36,NGC1566,65d01m12.8s,-54d57m2.7s,252,18.0,3.4,93.65e7,167.73e51,155.31e4,arm
37,NGC1566,65d01m13.0s,-54d56m36.2s,127,12.4,2.5,25.79e7,31.82e51,40.18e4,arm
38,NGC1566,65d01m27.8s,-54d56m30.4s,164,5.4,7.5,8.42e7,4.48e51,1.90e4,arm
39,NGC1566,65d01m30.7s,-54d56m27.8s,131,10.7,3.0,13.57e7,14.38e51,15.11e4,arm
40,NGC1627,71d23m19.6s,-59d15m5.2s,171,11.0,3.8,18.39e7,20.13e51,16.80e4,inter
41,NGC1627,71d23m45.8s,-59d14m15.0s,222,13.2,4.1,28.75e7,37.62e51,28.92e4,arm
42,NGC1627,71d24m13.8s,-59d14m15.2s,173,7.0,6.1,13.65e7,9.51e51,4.97e4,arm
43,NGC2835,139d27m24.3s,-22d20m32.1s,60,5.6,2.6,0.73e7,0.41e51,0.50e4,arm and inter
44,NGC2835,139d27m31.5s,-22d20m43.8s,52,8.0,1.6,0.68e7,0.54e51,1.08e4,inter
45,NGC3351,161d00m9.4s,11d42m35.2s,50,6.3,2.0,0.42e7,0.27e51,0.43e4,disc
46,NGC3351,161d00m15.2s,11d41m36.6s,67,6.6,2.5,0.57e7,0.37e51,0.48e4,none
47,NGC3627,170d02m56.2s,12d58m41.5s,100,15.0,1.6,29.49e7,44.01e51,85.25e4,arm
48,NGC3627,170d02m56.3s,12d59m21.3s,88,5.6,3.8,2.89e7,1.63e51,1.35e4,arm
49,NGC3627,170d02m56.7s,12d58m34.8s,102,8.8,2.8,9.06e7,7.98e51,9.02e4,arm
50,NGC3627,170d03m3.6s,13d00m16.6s,127,13.9,2.2,68.57e7,94.84e51,134.96e4,arm
51,NGC3627,170d03m18.6s,13d00m34.1s,129,9.9,3.2,49.12e7,48.38e51,48.12e4,arm and inter
52,NGC3627,170d03m56.6s,12d58m46.2s,142,8.6,4.0,31.69e7,27.27e51,21.49e4,bar
53,NGC3627,170d03m60.0s,12d59m52.6s,132,9.8,3.3,12.62e7,12.24e51,11.71e4,inter
54,NGC3627,170d04m1.6s,12d59m17.3s,97,10.1,2.4,8.11e7,8.15e51,10.94e4,bar
55,NGC3627,170d04m1.8s,12d58m45.1s,99,7.6,3.2,38.30e7,28.96e51,28.90e4,bar
56,NGC3627,170d04m42.7s,13d00m22.8s,93,6.0,3.8,3.25e7,1.94e51,1.62e4,arm
57,NGC4252,184d41m26.6s,14d24m7.6s,167,11.8,3.4,27.50e7,32.29e51,29.63e4,arm
58,NGC4254,184d41m30.2s,14d24m14.4s,263,12.2,5.3,71.65e7,86.63e51,51.83e4,arm and inter
59,NGC4254,184d41m54.3s,14d25m17.8s,236,17.0,3.4,99.10e7,167.62e51,156.80e4,arm
60,NGC4254,184d42m1.3s,14d25m4.1s,116,10.2,2.8,25.45e7,25.70e51,29.03e4,arm
61,NGC4254,184d42m2.6s,14d25m0.1s,130,10.2,3.1,33.64e7,33.97e51,34.48e4,arm
62,NGC4254,184d42m8.9s,14d24m53.6s,125,7.2,4.3,13.89e7,9.88e51,7.35e4,arm
63,NGC4254,184d42m12.0s,14d24m46.3s,116,4.2,6.8,12.05e7,4.98e51,2.31e4,arm and inter
64,NGC4254,184d42m38.2s,14d25m39.4s,205,11.5,4.4,48.43e7,55.42e51,40.25e4,arm
65,NGC4254,184d42m58.0s,14d24m50.5s,165,19.0,2.1,127.07e7,240.22e51,358.96e4,arm
66,NGC4254,184d43m3.1s,14d24m50.5s,120,5.0,5.9,10.72e7,5.33e51,2.88e4,arm
67,NGC4254,184d43m13.6s,14d25m2.6s,165,6.6,6.1,16.02e7,10.52e51,5.46e4,arm and inter
68,NGC4254,184d43m24.9s,14d24m41.7s,117,8.2,3.5,7.94e7,6.44e51,5.82e4,inter
69,NGC4254,184d44m12.6s,14d25m19.8s,327,24.5,3.3,112.04e7,273.12e51,265.38e4,arm
70,NGC4303,185d27m29.5s,4d28m46.0s,141,8.5,4.0,17.04e7,14.42e51,11.30e4,arm
71,NGC4303,185d27m58.1s,4d27m50.0s,155,8.4,4.5,9.83e7,8.22e51,5.77e4,arm
72,NGC4303,185d28m20.7s,4d27m47.3s,150,7.2,5.1,30.62e7,21.79e51,13.49e4,arm
73,NGC4303,185d28m30.4s,4d28m59.8s,136,9.1,3.6,7.85e7,7.11e51,6.18e4,arm
74,NGC4303,185d28m38.0s,4d27m43.1s,205,10.7,4.7,39.33e7,41.88e51,28.31e4,arm
75,NGC4303,185d28m44.5s,4d28m57.9s,143,6.6,5.3,18.10e7,11.98e51,7.21e4,bar
76,NGC4303,185d28m50.1s,4d27m13.0s,252,18.0,3.4,57.99e7,103.86e51,96.11e4,inter
77,NGC4303,185d29m14.8s,4d27m46.3s,154,7.4,5.1,11.25e7,8.28e51,5.17e4,arm
78,NGC4303,185d29m59.1s,4d28m51.1s,188,12.0,3.8,31.70e7,37.85e51,31.34e4,inter
79,NGC4321,185d44m29.6s,15d49m48.9s,116,11.9,2.4,3.14e7,3.72e51,4.95e4,arm
80,NGC4321,185d44m43.2s,15d49m33.3s,126,6.6,4.7,6.93e7,4.51e51,3.04e4,arm
81,NGC4535,188d34m16.6s,8d12m32.0s,299,22.0,3.3,130.99e7,286.73e51,273.65e4,arm
82,NGC5068,199d42m30.1s,-21d02m17.9s,51,9.0,1.4,2.23e7,1.99e51,4.58e4,none
83,NGC5068,199d43m39.3s,-21d03m23.2s,71,6.7,2.6,2.12e7,1.41e51,1.73e4,none
84,NGC5068,199d43m40.0s,-21d03m11.7s,67,12.9,1.3,1.50e7,1.94e51,4.85e4,none
85,NGC7496,347d26m6.3s,-43d25m25.4s,136,6.9,4.8,2.36e7,1.62e51,1.06e4,disc and none
86,NGC7496,347d26m25.6s,-43d24m56.2s,204,10.1,5.0,28.32e7,28.32e51,18.12e4,none
87,NGC7496,347d26m25.8s,-43d25m20.6s,138,7.5,4.5,5.91e7,4.41e51,3.10e4,bar
88,NGC7496,347d26m44.9s,-43d26m24.9s,96,7.9,3.0,0.62e7,0.48e51,0.51e4,none
