label,threshold,dice,iou,precision,recall,f1,gt_foreground_ratio,pred_foreground_ratio,area_ratio_pred_over_gt
intensity_bright_gt,0.05,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.2750000000000001,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.25000000000000006,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.32500000000000007,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.22500000000000006,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.3500000000000001,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.20000000000000007,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.3750000000000001,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.17500000000000004,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.40000000000000013,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.15000000000000002,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.42500000000000016,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.12500000000000003,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.10000000000000002,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.07500000000000001,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.3000000000000001,0.27585113,0.15999287,0.16013262,0.99457496,0.2758515,0.15308926,0.95083183,6.2109632
intensity_bright_gt,0.4500000000000001,0.27585042,0.1599924,0.16013223,0.99457145,0.27585077,0.15308926,0.95083076,6.210956
intensity_bright_gt,0.47500000000000014,0.2758425,0.15998706,0.16012846,0.9945109,0.27584285,0.15308926,0.9507953,6.2107244
intensity_bright_gt,0.5000000000000001,0.27303085,0.15809853,0.15878108,0.97352993,0.27303123,0.15308926,0.9386346,6.131289
intensity_dark_lt,0.9250000000000003,0.26399857,0.15207301,0.1524839,0.9825894,0.26399893,0.15308926,0.98649323,6.443908
